country,country_code,pop_2021
Samoa,WSM,"200,527"
St. Lucia,LCA,"185,397"
Channel Islands,CHI,"177,288"
Guam,GUM,"171,789"
Curacao,CUW,"151,280"
Kiribati,KIR,"122,999"
Federated States of Micronesia,FSM,"117,397"
Grenada,GRD,"113,606"
St. Vincent and the Grenadines,VCT,"111,691"
Tonga,TON,"108,172"
Aruba,ABW,"107,697"
Virgin Islands (U.S.),VIR,"105,613"
Seychelles,SYC,"100,193"
Antigua and Barbuda,ATG,"99,589"
Isle of Man,IMN,"85,984"
Andorra,AND,"77,469"
Dominica,DMA,"72,349"
Cayman Islands,CYM,"67,275"
Bermuda,BMU,"63,911"
Marshall Islands,MHL,"59,961"
Greenland,GRL,"56,568"
American Samoa,ASM,"54,922"
St. Kitts and Nevis,KNA,"53,957"
Faroe Islands,FRO,"49,228"
Sint Maarten (Dutch part),SXM,"40,970"
St. Martin (French part),MAF,"40,053"
Monaco,MCO,"39,810"
Turks and Caicos Islands,TCA,"39,780"
Liechtenstein,LIE,"38,358"
San Marino,SMR,"34,108"
Gibraltar,GIB,"33,668"
British Virgin Islands,VGB,"30,682"
Palau,PLW,"18,278"
Tuvalu,TUV,"12,077"
Nauru,NRU,"11,001"
